Source,Target,Weight
533,1940,0.5860543664602589
533,1939,0.5905440057942978
533,1938,0.5889825230758561
533,1930,0.5460372369781843
533,1928,0.5863807524627477
533,1919,0.5810604408643655
533,1917,0.5532940895689061
533,1907,0.5109673059087507
533,1906,0.547644576178093
533,1904,0.5139256014947086
533,1898,0.5248965085295021
533,1896,0.5856284150012974
533,1886,0.5015096104673762
533,1885,0.5549203902006997
533,1883,0.5972837272435222
533,1874,0.5861368989142055
533,1872,0.5904167858931388
533,1869,0.593877659857054
533,1866,0.5776978325805008
533,1852,0.5909657949054565
533,1851,0.5940816760902681
533,1845,0.5736684585701075
533,1843,0.5698290271232431
533,1842,0.5953329057422576
533,1836,0.5892218741180524
533,1833,0.5952899904959805
533,1827,0.5849726439695081
533,1822,0.5810579343371939
533,1816,0.5943800352781825
533,1813,0.5239915961110606
533,1809,0.5649945496379887
533,1807,0.5889086341389955
533,1806,0.5771471100866458
533,1799,0.5709984563989852
533,1797,0.569845441420284
533,1796,0.5994781784432979
533,1793,0.5490092548248584
533,1790,0.5909537884967607
533,1786,0.5961165900550881
533,1780,0.568580545796853
533,1777,0.565048443979666
533,1773,0.5920669847021236
533,1771,0.5720483647867423
533,1755,0.5088611384553661
533,1752,0.5801860881806775
533,1751,0.5592991853565712
533,1750,0.5241533840950539
533,1749,0.5624128326562096
533,1741,0.5895103681596469
533,1740,0.5896025109423894
533,1739,0.5933910107074638
533,1737,0.5545578580739744
533,1732,0.5306954995991409
533,1731,0.589294192590964
533,1725,0.5474829550357242
533,1724,0.5319892224776648
533,1723,0.5655605499059627
533,1718,0.5922982384146426
533,1716,0.5549617038023025
533,1715,0.5386022910349874
533,1713,0.5615853821780213
533,1708,0.5866259219007721
533,1706,0.5534544222085083
533,1705,0.5760231551131937
533,1703,0.5097672870862561
533,1702,0.5822724170238509
533,1698,0.5881955479435358
533,1694,0.5689118149333818
533,1691,0.5914449085103144
533,1684,0.541601330025614
533,1681,0.5995354147953548
533,1680,0.5370928072116666
533,1679,0.5723005044246661
533,1675,0.5707080966882745
533,1674,0.5723005044246661
533,1670,0.5983901750586914
533,1667,0.5940631476287337
533,1666,0.5611598453822539
533,1664,0.591809372722324
533,1662,0.567127530766632
533,1658,0.5822809733096515
533,1657,0.5430529930553931
533,1654,0.5196514831807559
533,1648,0.5326463243591383
533,1645,0.5684098624508946
533,1641,0.5990481248235627
533,1640,0.5876070049999981
533,1635,0.5893306551167025
533,1633,0.5315996126713829
533,1630,0.5702371296608758
533,1629,0.5713554720590145
533,1627,0.5570841772691492
533,1626,0.5906796631051837
533,1616,0.5581716969001119
533,1614,0.5940696905491009
533,1613,0.5612715444776571
533,1606,0.5935412472554373
533,1604,0.5802410770740942
533,1602,0.5230818085240213
533,1600,0.5700095260668085
533,1598,0.5349238103652626
533,1591,0.5862273021571929
533,1590,0.5975314857991103
533,1588,0.5744120338481495
533,1585,0.5862455968618049
533,1584,0.5728419447969079
533,1582,0.5280737760256522
533,1579,0.5694799110336635
533,1577,0.5610977415812001
533,1574,0.5766837949624232
533,1573,0.5862056954550431
533,1571,0.5771751008680467
533,1569,0.5723005044246661
533,1567,0.558853759775811
533,1559,0.5929372230972257
533,1550,0.5577352457126785
533,1547,0.5650292766570016
533,1546,0.573297884676443
533,1544,0.5475635931071565
533,1540,0.5935401723577836
533,1539,0.5955467989058744
533,1527,0.5356402791926822
533,1522,0.5193687359895405
533,1521,0.5541724633155798
533,1517,0.5990399660874205
533,1514,0.5750840405082699
533,1512,0.5999677254789038
533,1496,0.5656100546563594
533,1494,0.5833574605292053
533,1488,0.584970786842329
533,1486,0.598369453471063
533,1480,0.5702149212495632
533,1476,0.5925456035385237
533,1472,0.5470748203553044
533,1469,0.5171085661053733
533,1462,0.5910142622091517
533,1452,0.5772063867798842
533,1445,0.544245827995596
533,1444,0.5753008770111803
533,1441,0.5973177712016604
533,1435,0.5585384023529992
533,1434,0.5372607044866644
533,1431,0.5761074598069715
533,1429,0.5974051115529744
533,1427,0.5867928002401454
533,1422,0.5796299985340271
533,1418,0.5020646611582542
533,1416,0.5419462004190955
533,1411,0.5457722863878273
533,1409,0.5774853698047849
533,1408,0.5758271618158245
533,1407,0.5928493153126294
533,1404,0.5940611089155944
533,1399,0.5594703780747743
533,1394,0.5734242848497741
533,1381,0.5625237580451082
533,1356,0.5918713742414848
533,1354,0.589646246398531
533,1351,0.591212100723499
533,1347,0.5836124692401601
533,1344,0.5660827111093313
533,1335,0.5890977292939751
533,1334,0.5985238389975448
533,1328,0.5724043710330258
533,1327,0.5829870027584813
533,1322,0.5324810209846467
533,1321,0.5849956403918153
533,1312,0.5925663186220103
533,1311,0.5623931827365906
533,1310,0.5969526994493115
533,1308,0.5933699899347769
533,1303,0.5052204114561386
533,1297,0.5935581131435282
533,1295,0.5484765073234066
533,1291,0.5325315469367113
533,1287,0.5985569975960181
533,1282,0.5749361876996486
533,1280,0.5580968594271204
533,1278,0.5651474203692275
533,1275,0.5747539029913494
533,1272,0.5944824340598993
533,1271,0.5856314141085571
533,1270,0.5808509958981454
533,1268,0.5940146611575282
533,1265,0.5899813028552989
533,1261,0.5834322513671405
533,1258,0.595824723730266
533,1257,0.5839191549531605
533,1256,0.5760333137661958
533,1251,0.5973928436258563
533,1246,0.5977990394565935
533,1242,0.5914106235862792
533,1240,0.579869985063652
533,1238,0.5796282385119729
533,1235,0.5889818478963559
533,1233,0.48787418277901573
533,1229,0.5822994567081851
533,1228,0.562259539919604
533,1223,0.5855972300314394
533,1222,0.5903666138622075
533,1220,0.570779441239657
533,1214,0.5698462964678209
533,1213,0.5599898953153761
533,1194,0.5821960758206565
533,1190,0.5867849884497773
533,1187,0.5578540576306515
533,1186,0.572512669927744
533,1184,0.5985110040577454
533,1181,0.5565150156955131
533,1177,0.5522397391884996
533,1173,0.5981606231780423
533,1172,0.5908463249718106
533,1170,0.5734011722818522
533,1169,0.5622350355296861
533,1164,0.5937622425594263
533,1163,0.572015098770807
533,1161,0.5985006088705177
533,1156,0.557485877665908
533,1154,0.5846573046352483
533,1150,0.5990542159554287
533,1148,0.5829269897682349
533,1147,0.598725711213665
533,1137,0.5497549215292706
533,1136,0.5673784819706512
533,1132,0.5723005044246661
533,1124,0.566900886217665
533,1112,0.5972014706597639
533,1109,0.5513447111615979
533,1105,0.5991555726281256
533,1101,0.5658054782715491
533,1098,0.5615675935997164
533,1095,0.5929043790061637
533,1094,0.5851045862147529
533,1090,0.5806234780383421
533,1086,0.576617571728163
533,1085,0.598066264215628
533,1082,0.5354581955063533
533,1081,0.5640622646182085
533,1079,0.5924498651467853
533,1072,0.5988640027289547
533,1067,0.5777744096481734
533,1059,0.5024247168588256
533,1056,0.5402248411255338
533,1048,0.5815609532756675
533,1046,0.5870499770269825
533,1045,0.5921777581865726
533,1044,0.5417386540650511
533,1042,0.5297896177544587
533,1035,0.5412410472752824
533,1034,0.5879992953473737
533,1033,0.5567845654437504
533,1030,0.5518485205117063
533,1029,0.5837604946688124
533,1024,0.5587856255847509
533,1023,0.5825450593084777
533,1020,0.5890796241586181
533,1014,0.5418456493426798
533,1013,0.584719259168506
533,1010,0.5993934403054175
533,1007,0.5852435685635381
533,1004,0.5711240036093782
533,1003,0.5797009345254398
533,994,0.5952801549649084
533,992,0.5581152818042238
533,989,0.5926236276564829
533,988,0.5926885289948242
533,986,0.5967837658405656
533,983,0.5584295721131263
533,978,0.5944229113634991
533,977,0.5534852923017732
533,974,0.5875469801382918
533,971,0.571691896256303
533,968,0.5599630008694888
533,967,0.5723005044246661
533,966,0.5665703046683404
533,963,0.5937417809777106
533,958,0.5975962901955244
533,951,0.5995799127148796
533,946,0.5735719243532309
533,944,0.5503891655952832
533,941,0.5868240454759378
533,939,0.5855589036502495
533,938,0.5299934465999288
533,936,0.5495944165031785
533,935,0.5723005044246661
533,933,0.568886132418364
533,931,0.5735301809360159
533,930,0.5675245334517818
